Food,Serving,Calories
Chicken Pizza,1 slice (132 g),309 cal
Margherita Pizza,1 slice (63 g),173 cal
Mozzarella Pizza,1 slice (62 g),154 cal
Mushroom Pizza,1 slice (288 g),611 cal
Tuna Pizza,1 slice (125 g),318 cal
Vegetable Pizza,1 slice (156 g),399 cal
Vegetarian Pizza,1 slice (156 g),399 cal
Grapefruit,1/2 grapefruit (123 g),52 cal
Kiwi,1 kiwi (183 g),112 cal
Kumquat,1 kumquat (19 g),13 cal
Mandarin Oranges,1 madarin orange (90 g),48 cal
Mango,1 mango (336 g),202 cal
Passion Fruit,1 passion fruit (18 g),17 cal
Pineapple,1 pineapple (905 g),453 cal
Pink Grapefruit,1/2 grapefruit (123 g),52 cal
Pomegranate,1 pomegranate (282 g),234 cal
Watermelon,1 wedge (286 g),86 cal
BBQ Rib,1 rib (67 g),142 cal
Bean Burrito,1 burrito (190 g),380 cal
Big N’ Tasty,1 sandwich (232 g),517 cal
Bratwurst,1 piece (85 g),283 cal
Burger King Angry Whopper,1 burger (290 g),740 cal
Burger King Double Whopper,1 burger (374 g),894 cal
Burger King Double Whopper with Cheese,1 sandwich (399 g),994 cal
Burger King Original Chicken Sandwich,1 sandwich (219 g),659 cal
Burger King Premium Alaskan Fish Sandwich,1 burger (228 g),591 cal
Burger King Triple Whopper,1 burger (547 g),1471 cal
Burger King Whopper,1 burger (291 g),672 cal
Burger King Whopper Jr.,1 burger (148 g),346 cal
Burger King Whopper with Cheese,1 burger (315 g),759 cal
Cheeseburger,1 burger (156 g),410 cal
Chicken McNuggets,1 nugget (16 g),48 cal
Chicken Nuggets,1 piece (20 g),59 cal
Chicken Wings,1 piece (29 g),94 cal
Double Cheeseburger,1 burger (155 g),414 cal
French Fries,1 serving (71 g),222 cal
Grilled Chicken Salad,1 salad (305 g),268 cal
Ham Sandwich,1 sandwich (146 g),352 cal
Hamburger,1 sandwich (110 g),279 cal
Hot Dog,1 hot dog (116 g),312 cal
Italian BMT,1 sandwich (224 g),410 cal
Lasagna,1 piece (130 g),172 cal
McDonald’s Big Mac,1 burger (219 g),561 cal
McDonald’s Cheeseburger,1 sandwich (114 g),300 cal
McDonald’s Chicken Nuggets,1 nugget (16 g),48 cal
McDonald’s Double Cheeseburger,1 burger (155 g),437 cal
McDonald’s Filet-o-Fish,1 sandwich (142 g),391 cal
McDonald’s McChicken,1 burger (143 g),359 cal
McDonald’s McDouble,1 burger (160 g),403 cal
McDonald’s McMuffi Egg,1 burger (129 g),290 cal
McDonald’s McRib,1 sandwich (170 g),451 cal
McDonald’s Mighty Wings,1 wing (31 g),95 cal
Nachos with Cheese,10 nachos (188 g),575 cal
Onion Rings,1 ring (6.5 g),25 cal
Smoked Salmon,1 oz. (28.35 g),44 cal
Spicy Italian,1 sandwich (219 g),480 cal
Subway Club Sandwich,1 sandwich (238 g),312 cal
Tortilla Wrap,1 wrap (63 g),171 cal
Tuna,1 oz. (28.35 g),24 cal
Turkey,1 oz. (28.35 g),29 cal
Whopper,1 burger (291 g),672 cal
